Date;EMP;PE;CAPE;DY;Rho;MOV ;IR;RR;Y02;Y10;STP;CF;MG;RV;ED;UN;GDP;M2;CPI;DIL;YSS;NYF;_AU;_DXY;_LCP;_TY;_OIL;_MKT;_VA;_GR
12/25/88;2,0%;11,9;14,365;3,69;0,548;97,9;8,05;1,828;9,03;9,046;0,016;0,108635097493036;11,0%;10,6%;11,8%;-0,0701754385964913;0,0379935956649346;0,0572459666006226;0,0465099178263508;-0,00789627923893632;0,049831;0,683115937;417,75;92,66;3480,7;100,426;16,63;443,47;915,73;489,394
1/1/89;2,0%;12,1;14,356;3,69;0,546;103,4;8,1;1,828;9,193;9,139;-0,054;0,108635097493036;2,9%;3,1%;2,7%;-0,0701754385964913;0,0379935956649346;0,0572459666006226;0,0465099178263508;-0,0108591087516126;0,041949;0,683115937;410,25;92,5;3391,7;100;17,12;443,64;928,098;499,245
1/8/89;4,6%;11,9;14,381;3,66;0,581;110,5;8,29;1,828;9,324;9,218;-0,106;0,108635097493036;9,9%;13,7%;16,5%;-0,0701754385964913;0,0379935956649346;0,0572459666006226;0,0465099178263508;-0,0115773737495382;0,069126;0,683115937;405,75;94,36;3389,9;99,701;17,55;447,04;928,098;499,245
1/15/89;4,6%;12;14,514;3,66;0,568;106,7;8,21;1,884;9,14;9,07;-0,07;0,0536851683348498;9,9%;13,7%;16,5%;-0,0526315789473684;0,0379935956649346;0,0506778113366579;0,0463174853083865;-0,0115315357045667;0,039531;1,264247024;405,75;95,32;3280,3;100,816;18,49;451,61;928,098;499,245
1/22/89;4,6%;12,1;14,62;3,64;0,576;103;8,24;1,884;9,178;9,031;-0,147;0,0536851683348498;9,9%;13,7%;16,5%;-0,0526315789473684;0,0379935956649346;0,0506778113366579;0,0463174853083865;-0,0112406275013117;0,044636;1,264247024;405,25;95,09;3435;101,24;18,85;455,33;928,098;499,245
1/29/89;4,6%;12,5;15;3,57;0,588;102,8;8,33;1,884;9,141;8,986;-0,155;0,0536851683348498;9,9%;13,7%;16,5%;-0,0526315789473684;0,0379935956649346;0,0506778113366579;0,0463174853083865;-0,0115027850798467;0,061798;1,264247024;399,25;96,19;3363,8;101,695;17,74;467,58;928,098;499,245
2/5/89;3,8%;12,5;15,063;3,55;0,603;103,4;8,48;1,884;9,261;9,001;-0,26;0,0536851683348498;10,1%;13,1%;16,4%;-0,0526315789473684;0,0379935956649346;0,0506778113366579;0,0463174853083865;-0,00998133853199556;0,033743;1,264247024;388,75;96,74;3171,3;101,773;17,51;471,93;999,855;536,103
2/12/89;3,8%;12,3;14,833;3,62;0,604;108,7;8,55;1,884;9,371;9,229;-0,142;0,0536851683348498;10,1%;13,1%;16,4%;-0,0526315789473684;0,0379935956649346;0,0506778113366579;0,0463174853083865;-0,00998013465830672;0,059012;1,264247024;390,25;96,38;3034,4;100,5;17,11;465,15;999,855;536,103
2/19/89;3,8%;12,5;15,075;3,58;0,614;101,4;8,48;2,238;9,353;9,224;-0,129;0,0504786771105308;10,1%;13,1%;16,4%;-0,0877192982456141;0,0431515525707373;0,042433110367893;0,0470433543957047;-0,0104431357885487;0,049956;2,042924136;380,25;94,9;2980,8;100,704;18,6;473,19;999,855;536,103
2/26/89;3,8%;12,1;14,587;3,7;0,62;103,6;8,65;2,238;9,638;9,411;-0,227;0,0504786771105308;10,1%;13,1%;16,4%;-0,0877192982456141;0,0431515525707373;0,042433110367893;0,0470433543957047;-0,0104407842338254;0,064338;2,042924136;389,25;94,66;3168,3;99,714;18,05;458,32;999,855;536,103
